Sacred Broadsword	Broadsword
Obsidian Claymore	Claymore
Ornate Claymore	Claymore sword
Gold Scimitar	Scimitar
Ancient Broadsword	Broadsword sword
Arcane Obsidian Saber	Saber
Bloodied Iron Cutlass	Cutlass
Crystal Saber	Saber sword
Shadowed Greatsword	Greatsword
Royal Shortsword	Shortsword
Infernal Steel Katana	Katana
Wicked Longsword	Longsword
Royal Scimitar	Scimitar sword
Bloodied Falchion	Falchion
Blessed Katana	Katana sword
Infernal Blade	Blade
Sacred Double Axe	Double Axe
Obsidian Hand Axe	Hand Axe
Ornate War Axe	War Axe
Ember War Axe	War Axe axe
Ancient Double Axe	Double Axe axe
Arcane Obsidian Cleaver	Cleaver
Bloodied Iron Greataxe	Greataxe
Obsidian Cleaver	Cleaver axe
Radiant Obsidian Hand Axe	Hand Axe axe
Shadowed Throwing Axe	Throwing Axe
Royal Battle Axe	Battle Axe
Infernal Steel Tomahawk	Tomahawk
Wicked Battle Axe	Battle Axe axe
Blessed Tomahawk	Tomahawk axe
Royal Hatchet	Hatchet
Infernal Greataxe	Greataxe axe
Sacred Wall Shield	Wall Shield
Bronze Tower Shield	Tower Shield
Ornate Kite Shield	Kite Shield
Bone Round Shield	Round Shield
Ancient Wall Shield	Ancient Wall Shield
Arcane Bronze Pavise	Pavise
Bloodied Iron Scutum	Scutum
Weathered Wall Shield	Weathered Wall Shield
Iron Wall Shield	Iron Wall Shield
Bronze Aspis	Aspis
Radiant Bronze Tower Shield	Bronze Tower Shield
Shadowed Aspis	Shadowed Aspis
Royal Buckler	Buckler
Infernal Steel War Shield	War Shield
Holy Wall Shield	Holy Wall Shield
Wicked Buckler	Wicked Buckler
Sacred Scale Mail	Scale Mail
Bronze Breastplate	Breastplate
Ornate Chainmail	Chainmail
Scale Plate Armor	Plate Armor
Ancient Scale Mail	Ancient Scale Mail
Arcane Bronze Cuirass	Cuirass
Bloodied Iron Vest	Vest
Weathered Scale Mail	Weathered Scale Mail
Iron Scale Mail	Iron Scale Mail
Bronze Robe	Robe
Radiant Bronze Chainmail	Bronze Chainmail
Shadowed Robe	Shadowed Robe
Royal Armor	Armor
Infernal Steel Tunic	Tunic
Holy Scale Mail	Holy Scale Mail
Wicked Armor	Wicked Armor
Sacred Mask	Mask
Leather Crown	Crown
Ornate Crown	Ornate Crown
Rune Hood	Hood
Ancient Mask	Ancient Mask
Arcane Leather Visored Helm	Visored Helm
Bloodied Iron Barbute	Barbute
Weathered Mask	Weathered Mask
Iron Mask	Iron Mask
Bronze Visored Helm	Bronze Visored Helm
Radiant Leather Crown	Leather Crown
Shadowed Cap	Cap
Royal Helm	Helm
Infernal Steel War Mask	War Mask
Holy Mask	Holy Mask
Wicked Helmet	Helmet
Sacred Chausses	Chausses
Leather Leggings	Leggings
Ornate Leggings	Ornate Leggings
Plate Pants	Pants
Ancient Chausses	Ancient Chausses
Arcane Leather Leg Wraps	Leg Wraps
Bloodied Iron Scale Legs	Scale Legs
Weathered Chausses	Weathered Chausses
Iron Chausses	Iron Chausses
Bronze Leg Wraps	Bronze Leg Wraps
Radiant Leather Leggings	Leather Leggings
Shadowed Plate Legs	Plate Legs
Royal Greaves	Greaves
Infernal Steel War Greaves	War Greaves
Holy Chausses	Holy Chausses
Wicked Legs	Legs
Sacred Trousers	Trousers
Leather Greaves	Greaves
Ornate Greaves	Ornate Greaves
Plate Cuisses	Cuisses
Ancient Trousers	Ancient Trousers
Arcane Leather Scale Pants	Scale Pants
Bloodied Iron War Greaves	War Greaves
Weathered Trousers	Weathered Trousers
Iron Trousers	Iron Trousers
Bronze Scale Pants	Bronze Scale Pants
Radiant Leather Greaves	Leather Greaves
Shadowed Cloth Pants	Cloth Pants
Royal Leggings	Leggings
Infernal Steel Scale Leggings	Scale Leggings
Holy Trousers	Holy Trousers
Wicked Pants	Pants
Sacred Stompers	Stompers
Steel Shoes	Shoes
Ornate Shoes	Ornate Shoes
Soft Sandals	Sandals
Ancient Stompers	Ancient Stompers
Arcane Steel War Boots	War Boots
Bloodied Leather Plate Boots	Plate Boots
Weathered Stompers	Weathered Stompers
Leather Stompers	Leather Stompers
Scale War Boots	Scale War Boots
Radiant Steel Shoes	Steel Shoes
Shadowed Hiking Boots	Hiking Boots
Royal Sabatons	Sabatons
Infernal Iron Heavy Boots	Heavy Boots
Holy Stompers	Holy Stompers
Wicked Boots	Boots
Sacred Seal Ring	Seal Ring
Bone Signet	Signet
Ornate Signet	Ornate Signet
Ruby Loop	Loop
Ancient Seal Ring	Ancient Seal Ring
Arcane Bone Gem Ring	Gem Ring
Bloodied Gold Plain Ring	Plain Ring
Weathered Seal Ring	Weathered Seal Ring
Gold Seal Ring	Gold Seal Ring
Bone Gem Ring	Bone Gem Ring
Radiant Bone Signet	Bone Signet
Shadowed Twisted Ring	Twisted Ring
Royal Band	Band
Infernal Silver Spike Ring	Spike Ring
Holy Seal Ring	Holy Seal Ring
Wicked Ring	Ring
Sacred Javelin	Javelin
Bone Halberd	Halberd
Ornate Halberd	Ornate Halberd
Rune Lance	Lance
Ancient Javelin	Ancient Javelin
Arcane Bone Poleaxe	Poleaxe
Bloodied Iron Billhook	Billhook
Weathered Javelin	Weathered Javelin
Iron Javelin	Iron Javelin
Bone Poleaxe	Bone Poleaxe
Radiant Bone Halberd	Bone Halberd
Shadowed Partisan	Partisan
Royal Pike	Pike
Infernal Iron War Spear	War Spear
Holy Javelin	Holy Javelin
Wicked Spear	Spear
Infernal Parma	Parma
Radiant Morning Star	Morning Star
Gilded Shadow Breastplate	Breastplate
Weathered Staff	Staff
Enchanted Frost Longsword	Longsword
Weathered Cudgel	Cudgel
Infernal Rune Spear	Spear
Cursed Round Shield	Round Shield
Royal Cleaver	Cleaver
Steel Club	Club
Tempered Rune Wood Axe	Wood Axe
Weathered Quarterstaff	Quarterstaff
Royal Arcane Rod	Arcane Rod
Runic Lance	Lance
Infernal Boar Spear	Boar Spear
Wicked Crystal Charm	Charm
Bolt	Bolt
