Sturdy Giant Mushroom	Giant Mushroom
Abandoned Flower Patch	Flower Patch
Simple Dead Tree	Dead Tree
Enchanted Willow Tree	Willow Tree
Sturdy Rubble	Rubble
Abandoned Meteor Rock	Meteor Rock
Simple Rock Pile	Rock Pile
Enchanted Crystal Spire	Crystal Spire
Sturdy Meteor Rock	Meteor Rock rock
Castle Crystal Spire	Crystal Spire rock
Ruined Cliff Rock	Cliff Rock
Enchanted Rubble	Rubble rock
Sturdy Boulder	Boulder
Ancient Stalagmite	Stalagmite
Village Rock Pile	Rock Pile rock
Village Ore Vein	Ore Vein
Sturdy Standing Stone	Standing Stone
Ancient Boulder	Boulder rock
Enchanted Stalagmite	Stalagmite rock
Castle Cliff Rock	Cliff Rock rock
Sturdy Archway	Archway
Abandoned Hatch	Hatch
Simple Iron Door	Iron Door
Enchanted Gate Door	Gate Door
Sturdy Hatch	Hatch door
Castle Iron Door	Iron Door door
Ruined Portcullis	Portcullis
Enchanted Portcullis	Portcullis door
Sturdy Wooden Door	Wooden Door
Ancient Archway	Archway door
Ancient Gate Door	Gate Door door
Village Trapdoor	Trapdoor
Ancient Wooden Door	Wooden Door door
Weathered Blast Door	Blast Door
Sturdy Blast Door	Blast Door door
Simple Trapdoor	Trapdoor door
Sturdy Barricade	Barricade
Abandoned Castle Wall Piece	Castle Wall Piece
Simple Fence	Fence
Enchanted Gate	Gate
Sturdy Castle Wall Piece	Castle Wall Piece wall
Castle Gate	Gate wall
Ruined Ruin Arch	Ruin Arch
Enchanted Ruin Arch	Ruin Arch wall
Sturdy Wall Segment	Wall Segment
Ancient Barricade	Barricade wall
Village Fence	Fence wall
Ancient Railing	Railing
Village Railing	Railing wall
Ancient Wall Segment	Wall Segment wall
Weathered Hedge Fence	Hedge Fence
Sturdy Hedge Fence	Hedge Fence wall
Ancient Castle Wall Piece	Castle Wall Piece
Ancient Gate	Gate
Castle Fence	Fence
Sturdy Gate	Gate wall
Enchanted Barricade	Barricade
Ruined Fence	Fence wall
Castle Ruin Arch	Ruin Arch
Ornate Railing	Railing
Enchanted Wall Segment	Wall Segment
Abandoned Ruin Arch	Ruin Arch wall
Sturdy Palisade	Palisade
Castle Barricade	Barricade wall
Abandoned Wall Segment	Wall Segment wall
Ruined Hedge Fence	Hedge Fence
Simple Palisade	Palisade wall
Castle Hedge Fence	Hedge Fence wall
Stone Wall Pole	Stone Wall Pole
Stone Wall Horizontal	Stone Wall Horizontal
Stone Wall Vertical	Stone Wall Vertical
Stone Wall Corner	Stone Wall Corner
Stone Wall South End	Stone Wall South End
Stone Wall East End	Stone Wall East End
Stone Wall West End	Stone Wall West End
Stone Wall North End	Stone Wall North End
Stone Wall Northeast Diagonal	Stone Wall Northeast Diagonal
Stone Wall Southeast Diagonal	Stone Wall Southeast Diagonal
Stone Wall Southwest Diagonal	Stone Wall Southwest Diagonal
Stone Wall South T	Stone Wall South T
Stone Wall East T	Stone Wall East T
Stone Wall West T	Stone Wall West T
Stone Wall North T	Stone Wall North T
Stone Wall Intersection	Stone Wall Intersection
Village Table	Table
Village Bench	Bench
Village Crate	Crate
Village Barrel	Barrel
Village Torch Stand	Torch Stand
Ref Village Front Left	Village Front Left
Ref Village Front Left Statue	Village Front Left Statue
Ref Village Front Mid	Village Front Mid
Ref Village Front Mid Window	Village Front Mid Window
Ref Village Front Right	Village Front Right
Ref Village Front Right Statue	Village Front Right Statue
Ref Fence H	Fence H
Ref Fence H Gate	Fence H Gate
Ref Fence H South	Fence H South
Ref Fence Ne	Fence Ne
Ref Fence Nw	Fence Nw
Ref Fence Se	Fence Se
Ref Fence Sw	Fence Sw
Ref Fence V	Fence V
Ref Fence V Alt	Fence V Alt
Ref Fence V Post	Fence V Post
Ref Lake Single	Lake Single
Ref Mountain 01	Mountain 01
Ref Mountain 02	Mountain 02
Ref Mountain 03	Mountain 03
Ref Mountain 04	Mountain 04
Ref Mountain 05	Mountain 05
Ref Mountain 06	Mountain 06
Ref Mountain 07	Mountain 07
Ref Mountain 08	Mountain 08
Ref Mountain 09	Mountain 09
Ref Mountain 10	Mountain 10
Ref Mountain 11	Mountain 11
Ref Mountain 12	Mountain 12
Ref Mountain 13	Mountain 13
Ref Mountain 14	Mountain 14
