Pulse Sky Dancer Antihero	Sky Dancer
Chrome Frost Binder	Frost Binder
Razor Flame Wielder	Flame Wielder
Titan Crystal Mage Sentinel	Crystal Mage
Nova Living Energy Construct Rogue	Living Energy Construct
Golden Armored Power Suit Wearer	Armored Power Suit Wearer
Ultra Hex Caster Antihero	Hex Caster
Lumen Ground Shaker Outlaw	Ground Shaker
Titan Wind Archer Vigilante	Wind Archer
Dark Plasma Blaster Enforcer	Plasma Blaster
Crimson Shadow Stalker Champion	Shadow Stalker
Shadow Ember Vanguard	Ember Vanguard
Obsidian Pulse Striker Vigilante	Pulse Striker
Quantum Storm Caller	Storm Caller
Swift Neon Trickster Rogue	Neon Trickster
Hyper Velocity Runner Scout	Velocity Runner
Pulse Steel Brawler Antihero	Pulse Steel Brawler
Chrome Light Bearer	Chrome Light Bearer
Razor Sky Dancer	Razor Sky Dancer
Titan Mind Weaver Enforcer	Titan Mind Weaver
Nova Living Energy Construct Enforcer	Nova Living Energy Construct
Golden Living Energy Construct Scout	Golden Living Energy Construct
Crystal Shield Guardian	Crystal Shield Guardian
Azure Desert Walker Sentinel	Azure Desert Walker
Dark Sky Dancer Guardian	Dark Sky Dancer
Frost Controller Vigilante	Controller Vigilante
Echo Dual-Form Shapeshifter Mercenary	Echo Dual-Form Shapeshifter
Prism Elemental Conduit Host	Prism Elemental Conduit Host
Crimson Crystal Mage Rogue	Crimson Crystal Mage
Void Plaza Caster Nemesis	Void Plaza Caster
Lumen Thunder Bruiser Defender	Lumen Thunder Bruiser
Obsidian Orbital Brawler Guardian	Obsidian Orbital Brawler
Quantum Void Walker	Quantum Void Walker
Prism Guardian Guardian	Guardian Guardian
Silver Dual-Form Shapeshifter	Silver Dual-Form Shapeshifter
Lumen Sonic Screamer Defender	Lumen Sonic Screamer
Thunder Weaver Antihero	Weaver Antihero
Frost Blade Dancer Mercenary	Frost Blade Dancer
Pulse Harbor Bearer Hero	Pulse Harbor Bearer
Swift Mage Enforcer	Mage Enforcer
Flux Plaza Gadgeteer Vigilante	Flux Plaza Gadgeteer
Frost Shield Guardian	Frost Shield Guardian
Wild Industrial Guardian Outlaw	Wild Industrial Guardian
Echo Gravity Knight Guardian	Echo Gravity Knight
Titan Blade Dancer Sentinel	Titan Blade Dancer
Silver Night Operative Guardian	Silver Night Operative
Crystal Night Operative Guardian	Crystal Night Operative
Azure Pulse Striker Sidekick	Azure Pulse Striker
Glow Beast Whisperer	Glow Beast Whisperer
Plasma Hex Caster	Plasma Hex Caster
Quantum Crawler Enforcer	Crawler Enforcer
Lunar Iron Sentinel Defender	Lunar Iron Sentinel
Hyper Controller Villain	Controller Villain
Echo Frost Archer	Echo Frost Archer
Nova Striker	Nova Striker
Quantum Wall Crawler	Quantum Wall Crawler
Void Wall Crawler Guardian	Void Wall Crawler
